Order_ID,Customer_Name,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Order_Date,Region,Sales_Channel
ORD-00027,Jack,Food,Lamp,1,371.97,0.28,2026-01-28 22:07:17.382958,South,Online
ORD-00028,Charlie,Home,Cereal,8,16.74,0.12,2026-03-07 22:07:17.382960,North,Online
ORD-00029,Grace,Food,Novel,7,131.7,0.04,2026-01-11 22:07:17.382962,South,Catalog
ORD-00030,David,Electronics,Cereal,8,115.06,0.21,2026-01-19 22:07:17.382964,South,Store
ORD-00031,Ivy,Electronics,T-Shirt,6,142.7,0.09,2025-12-18 22:07:17.382965,South,Store
ORD-00032,Charlie,Food,T-Shirt,9,131.3,0.16,2026-02-10 22:07:17.382967,East,Online
ORD-00033,Eve,Books,Cookbook,3,40.64,0.21,2026-02-13 22:07:17.382969,South,Online
ORD-00034,Charlie,Sports,Phone,4,234.88,,2026-07-11 22:07:17.382973,West,Online
ORD-00035,Grace,Electronics,Novel,6,369.04,0.24,2025-10-01 22:07:17.382975,North,Online
ORD-00036,Eve,Sports,Laptop,8,307.3,,2026-04-26 22:07:17.382977,East,Online
ORD-00037,Ivy,Electronics,Jeans,5,339.71,0.2,2025-09-03 22:07:17.382979,North,Online
ORD-00038,Grace,Clothing,Cereal,3,49.76,0.28,2026-06-12 22:07:17.382981,East,Online
ORD-00039,Bob,Home,Phone,6,476.23,0.09,2025-12-26 22:07:17.382983,West,Store
ORD-00040,David,Electronics,Cookbook,4,420.86,0.0,2025-12-07 22:07:17.382985,East,Online
ORD-00041,Ivy,Sports,Ball,9,404.49,0.08,2025-08-08 22:07:17.382986,East,Online
ORD-00042,Bob,Clothing,Laptop,3,413.26,0.07,2025-10-22 22:07:17.382988,East,Store
ORD-00043,,Electronics,Table,4,467.03,0.2,2025-10-18 22:07:17.382990,North,Store
ORD-00044,Ivy,Books,Phone,7,276.68,0.19,2025-11-15 22:07:17.382992,South,Catalog
ORD-00045,Jack,Home,Ball,7,108.14,0.18,2025-09-17 22:07:17.382994,North,Online
ORD-00046,Eve,Electronics,Novel,4,312.22,0.0,2025-12-28 22:07:17.382996,South,Online
ORD-00047,Bob,Clothing,Cookbook,6,374.01,0.22,2025-09-06 22:07:17.382998,North,Online
ORD-00048,David,Books,Laptop,3,371.58,0.1,2026-03-06 22:07:17.382999,West,Online
ORD-00049,Grace,Food,Laptop,6,265.51,0.2,2025-10-17 22:07:17.383001,West,Catalog
ORD-00050,Henry,Clothing,Laptop,2,43.54,0.17,2026-06-20 22:07:17.383003,East,Store
ORD-00051,Charlie,Clothing,Novel,8,191.85,0.1,2025-09-18 22:07:17.383005,West,Store
ORD-00052,Alice,Books,Cereal,2,461.18,0.04,2026-07-06 22:07:17.383007,East,Online
ORD-00053,David,Clothing,Table,7,296.38,0.03,2026-05-28 22:07:17.383009,South,Online
ORD-00054,Bob,Books,Novel,9,273.78,0.25,2026-04-03 22:07:17.383011,West,Online
ORD-00055,Henry,Electronics,Jeans,1,141.74,0.28,2026-07-19 22:07:17.383013,South,Catalog
ORD-00056,David,Books,Table,8,190.54,0.19,2026-01-23 22:07:17.383014,North,Catalog
ORD-00057,Bob,Books,T-Shirt,7,448.72,0.03,2026-07-11 22:07:17.383016,South,Store
ORD-00058,Frank,Home,Cookbook,6,336.57,0.12,2025-08-19 22:07:17.383018,North,Online
ORD-00059,Frank,Books,Novel,6,395.82,0.22,2025-10-12 22:07:17.383020,South,Online
ORD-00060,Jack,Books,Ball,6,232.63,0.23,2025-11-07 22:07:17.383022,South,Online
ORD-00061,David,Food,Table,9,318.82,0.04,2026-04-25 22:07:17.383024,West,Online
ORD-00062,Frank,Electronics,Jeans,2,131.71,0.0,2026-04-11 22:07:17.383026,South,Catalog
ORD-00063,Bob,Home,T-Shirt,1,355.68,0.21,2026-01-19 22:07:17.383027,West,Store
ORD-00064,Jack,Food,Cereal,6,219.52,0.11,2025-11-16 22:07:17.383029,West,Store
ORD-00065,,Sports,Ball,8,226.85,0.08,2025-11-11 22:07:17.383031,East,Catalog
ORD-00066,Jack,Electronics,Table,3,328.17,0.0,2026-05-09 22:07:17.383033,East,Online
ORD-00067,David,Electronics,Cookbook,1,468.78,0.16,2026-04-07 22:07:17.383035,North,Store
ORD-00068,Henry,Sports,Ball,9,41.36,0.26,2026-02-18 22:07:17.383037,South,Store
ORD-00069,Grace,Books,T-Shirt,1,414.12,0.29,2026-05-03 22:07:17.383039,North,Catalog
ORD-00070,Ivy,Food,Ball,3,153.27,0.17,2026-05-08 22:07:17.383040,South,Online
ORD-00071,Henry,Clothing,Lamp,8,227.52,0.15,2025-11-08 22:07:17.383042,East,Store
ORD-00072,Eve,Home,Phone,3,20.74,0.03,2026-03-19 22:07:17.383044,East,Online
ORD-00073,Bob,Clothing,Cereal,4,157.51,0.16,2025-10-15 22:07:17.383046,South,Store
ORD-00074,Eve,Sports,T-Shirt,8,256.29,0.11,2026-04-27 22:07:17.383048,South,Catalog
ORD-00075,Henry,Electronics,Ball,1,37.53,,2026-01-01 22:07:17.383050,East,Online
ORD-00076,Jack,Electronics,Phone,6,250.64,0.12,2026-07-08 22:07:17.383051,East,Catalog
ORD-00077,Ivy,Home,Phone,1,464.28,0.07,2026-02-23 22:07:17.383053,North,Store
ORD-00078,Ivy,Electronics,Ball,1,61.64,0.03,2025-11-12 22:07:17.383055,East,Catalog
ORD-00079,Alice,Electronics,Cookbook,8,384.58,0.09,2026-01-17 22:07:17.383057,South,Catalog
ORD-00080,Ivy,Home,Lamp,4,210.74,0.03,2025-08-29 22:07:17.383059,North,Catalog
ORD-00081,Grace,Food,Novel,1,331.04,0.05,2026-06-22 22:07:17.383061,South,Store
ORD-00082,Ivy,Food,Lamp,7,137.52,0.3,2025-10-26 22:07:17.383063,West,Online
ORD-00083,Henry,Home,Ball,5,88.15,0.13,2026-07-19 22:07:17.383065,North,Catalog
ORD-00084,Alice,Sports,Cereal,5,88.63,0.16,2025-08-28 22:07:17.383066,South,Online
ORD-00085,Henry,Electronics,Novel,1,44.54,0.26,2025-09-19 22:07:17.383068,East,Store
ORD-00086,Henry,Electronics,T-Shirt,6,100.97,0.3,2025-08-25 22:07:17.383070,West,Online
ORD-00087,Charlie,Sports,Lamp,9,335.47,0.17,2026-02-05 22:07:17.383072,South,Catalog
ORD-00088,Alice,Food,Ball,9,442.03,0.24,2026-01-24 22:07:17.383074,North,Catalog
ORD-00089,Henry,Books,Lamp,8,408.92,0.1,2026-01-27 22:07:17.383076,South,Catalog
ORD-00090,Charlie,Books,Novel,5,345.72,0.09,2026-03-03 22:07:17.383078,West,Catalog
ORD-00091,Charlie,Books,Jeans,1,64.11,0.12,2025-07-27 22:07:17.383079,North,Catalog
ORD-00092,Alice,Food,Table,9,151.7,0.2,2025-11-18 22:07:17.383081,West,Catalog
ORD-00093,Eve,Food,Lamp,1,161.81,0.2,2026-03-19 22:07:17.383083,South,Store
ORD-00094,,Sports,T-Shirt,8,132.48,0.09,2025-11-03 22:07:17.383085,East,Store
ORD-00095,Grace,Electronics,T-Shirt,5,262.35,0.04,2026-06-14 22:07:17.383087,East,Store
ORD-00096,Jack,Sports,Laptop,3,272.42,0.19,2025-08-03 22:07:17.383089,South,Online
ORD-00097,Ivy,Sports,Lamp,7,184.87,0.04,2025-11-11 22:07:17.383091,South,Online
ORD-00098,Grace,Food,Table,7,183.36,,2026-03-03 22:07:17.383093,South,Store
ORD-00099,Ivy,Books,Cookbook,9,415.99,0.21,2025-11-26 22:07:17.383094,North,Online
ORD-00100,Henry,Clothing,Phone,7,396.75,0.21,2025-12-08 22:07:17.383096,West,Online
ORD-00101,Bob,Electronics,Table,3,160.82,0.23,2025-08-17 22:07:17.383098,West,Catalog
ORD-00102,Alice,Food,Phone,1,457.76,0.26,2026-01-07 22:07:17.383100,West,Catalog
ORD-00103,Grace,Books,Phone,8,476.88,0.15,2026-05-20 22:07:17.383102,South,Online
ORD-00104,Grace,Clothing,Jeans,3,170.1,0.22,2026-07-13 22:07:17.383103,West,Online
ORD-00105,Henry,Clothing,Laptop,8,183.67,0.19,2026-04-07 22:07:17.383105,South,Store
ORD-00106,Eve,Food,Table,8,257.76,0.06,2026-06-28 22:07:17.383107,North,Online
ORD-00107,Charlie,Home,Table,5,471.15,0.01,2026-02-23 22:07:17.383109,East,Catalog
ORD-00108,Henry,Electronics,Jeans,1,439.4,0.09,2025-12-15 22:07:17.383111,South,Online
ORD-00109,Frank,Clothing,Lamp,7,60.26,0.13,2025-08-17 22:07:17.383112,South,Store
ORD-00110,Charlie,Food,Lamp,5,202.44,0.19,2025-11-29 22:07:17.383114,East,Catalog
ORD-00111,Alice,Food,Lamp,8,281.15,0.25,2025-11-29 22:07:17.383116,East,Catalog
ORD-00112,Charlie,Books,Cereal,9,256.53,0.06,2025-12-17 22:07:17.383118,North,Catalog
ORD-00113,Eve,Home,Phone,7,104.99,0.04,2026-02-23 22:07:17.383120,West,Catalog
ORD-00114,Charlie,Electronics,Cereal,7,430.82,0.29,2026-03-23 22:07:17.383122,South,Online
ORD-00115,Alice,Sports,Laptop,1,341.7,0.03,2026-03-02 22:07:17.383123,West,Store
ORD-00116,Eve,Books,Jeans,4,420.58,0.14,2026-01-16 22:07:17.383127,South,Online
ORD-00117,Jack,Clothing,Table,2,430.79,0.18,2025-11-11 22:07:17.383129,North,Online
ORD-00118,Grace,Clothing,Phone,2,376.69,0.16,2026-05-17 22:07:17.383131,East,Catalog
ORD-00119,Grace,Books,Cereal,2,225.21,0.03,2026-04-11 22:07:17.383133,North,Store
ORD-00120,Ivy,Food,Cereal,4,309.17,0.02,2025-08-22 22:07:17.383134,East,Catalog
ORD-00121,Jack,Clothing,Ball,1,88.58,0.03,2026-02-15 22:07:17.383136,West,Online
ORD-00122,Jack,Home,Cereal,4,340.09,0.18,2025-09-18 22:07:17.383138,West,Online
ORD-00123,Charlie,Electronics,Cookbook,2,97.83,0.16,2025-07-27 22:07:17.383140,North,Catalog
ORD-00124,Grace,Home,Table,5,350.04,0.07,2025-09-27 22:07:17.383142,East,Online
ORD-00125,Alice,Clothing,Cookbook,3,122.5,0.19,2026-04-25 22:07:17.383144,North,Online
ORD-00126,David,Sports,Table,8,67.6,0.25,2025-08-01 22:07:17.383146,East,Catalog
ORD-00127,David,Electronics,Jeans,4,90.99,0.01,2025-11-10 22:07:17.383148,East,Online
ORD-00128,Eve,Electronics,Table,1,10.98,0.15,2025-08-05 22:07:17.383150,West,Store
ORD-00129,Grace,Books,Cookbook,1,362.18,0.21,2025-12-16 22:07:17.383151,West,Catalog
ORD-00130,Grace,Books,Table,3,368.88,0.08,2026-07-15 22:07:17.383154,East,Store
ORD-00131,David,Sports,Jeans,9,262.32,0.09,2026-07-12 22:07:17.383156,East,Online
ORD-00132,Grace,Food,Jeans,7,89.07,0.18,2025-09-02 22:07:17.383157,East,Online
ORD-00133,Charlie,Electronics,Laptop,2,50.94,0.27,2025-11-22 22:07:17.383159,West,Catalog
ORD-00134,Frank,Sports,Table,9,19.37,0.24,2026-01-23 22:07:17.383161,West,Online
ORD-00135,Bob,Books,Ball,2,91.22,0.17,2025-10-13 22:07:17.383163,South,Catalog
ORD-00136,Jack,Books,Lamp,3,446.52,0.22,2025-09-15 22:07:17.383165,East,Catalog
ORD-00137,Ivy,Electronics,T-Shirt,2,128.35,0.11,2026-04-16 22:07:17.383167,South,Catalog
ORD-00138,Eve,Home,Jeans,3,183.59,0.19,2026-01-08 22:07:17.383168,East,Catalog
ORD-00139,Frank,Clothing,Novel,6,61.62,0.14,2025-12-10 22:07:17.383170,West,Catalog
ORD-00140,David,Books,Lamp,9,118.96,,2025-08-25 22:07:17.383172,South,Store
ORD-00141,Jack,Food,Phone,9,264.42,0.21,2026-04-12 22:07:17.383174,South,Catalog
ORD-00142,Grace,Food,Table,7,307.8,0.17,2026-04-09 22:07:17.383176,North,Store
ORD-00143,Ivy,Books,Cookbook,3,130.22,0.11,2025-07-24 22:07:17.383178,East,Online
ORD-00144,Grace,Home,T-Shirt,4,38.29,0.27,2026-05-27 22:07:17.383179,West,Catalog
ORD-00145,Alice,Home,Novel,6,201.61,0.01,2026-05-07 22:07:17.383181,North,Online
ORD-00146,Alice,Sports,Lamp,5,124.76,0.09,2026-05-10 22:07:17.383183,North,Catalog
ORD-00147,Ivy,Food,Table,2,117.58,0.02,2026-06-12 22:07:17.383185,East,Store
ORD-00148,Ivy,Sports,Laptop,6,480.33,0.23,2025-09-03 22:07:17.383187,North,Store
ORD-00149,David,Food,Phone,3,311.99,0.21,2026-01-24 22:07:17.383189,East,Store
ORD-00150,Ivy,Clothing,T-Shirt,8,282.87,0.1,2026-06-21 22:07:17.383190,North,Online
ORD-00151,Charlie,Clothing,Ball,2,213.73,0.2,2026-05-14 22:07:17.383192,East,Catalog
ORD-00152,Grace,Electronics,Laptop,1,220.18,0.12,2026-05-29 22:07:17.383194,West,Online
ORD-00153,Frank,Sports,Novel,9,275.04,,2026-04-10 22:07:17.383196,East,Store
ORD-00154,Henry,Books,T-Shirt,3,351.25,0.14,2026-01-05 22:07:17.383198,East,Online
ORD-00155,Ivy,Sports,Laptop,1,354.05,0.12,2026-04-14 22:07:17.383199,South,Store
ORD-00156,Eve,Books,Phone,7,94.13,0.28,2025-11-10 22:07:17.383201,West,Store
ORD-00157,Alice,Home,Ball,5,255.06,0.08,2025-09-20 22:07:17.383203,West,Store
ORD-00158,Charlie,Sports,Laptop,5,211.86,0.04,2026-05-11 22:07:17.383205,West,Catalog
ORD-00159,,Home,Cereal,1,436.56,0.18,2026-02-03 22:07:17.383207,North,Catalog
ORD-00160,Henry,Clothing,Ball,9,319.4,0.29,2026-03-03 22:07:17.383209,South,Store
ORD-00161,Frank,Clothing,Novel,7,270.93,0.11,2026-02-08 22:07:17.383210,West,Online
ORD-00162,Henry,Electronics,Phone,8,66.54,0.02,2025-11-05 22:07:17.383212,North,Online
ORD-00163,Ivy,Sports,Table,9,306.76,0.1,2025-12-15 22:07:17.383214,North,Catalog
ORD-00164,David,Home,Cookbook,6,67.43,0.15,2026-05-02 22:07:17.383216,North,Store
ORD-00165,Alice,Books,Cookbook,5,175.23,0.05,2026-01-23 22:07:17.383218,South,Online
ORD-00166,Alice,Clothing,Cookbook,6,79.99,0.2,2025-09-20 22:07:17.383219,North,Store
ORD-00167,Jack,Clothing,T-Shirt,2,349.12,0.3,2026-07-14 22:07:17.383221,South,Online
ORD-00168,David,Books,Novel,4,111.06,0.14,2026-07-20 22:07:17.383223,East,Catalog
ORD-00169,Grace,Home,Phone,3,202.01,0.11,2025-08-07 22:07:17.383225,North,Store
ORD-00170,Bob,Home,Ball,7,448.88,0.12,2025-08-22 22:07:17.383227,West,Store
ORD-00171,Charlie,Sports,T-Shirt,9,110.12,0.03,2025-10-05 22:07:17.383229,North,Online
ORD-00172,Alice,Sports,Novel,5,258.82,0.26,2025-10-16 22:07:17.383230,East,Online
ORD-00173,Eve,Food,Table,6,215.44,0.12,2025-12-21 22:07:17.383232,East,Online
ORD-00174,Alice,Food,Cereal,2,18.88,0.12,2026-04-17 22:07:17.383234,North,Store
ORD-00175,Henry,Electronics,Phone,3,398.45,0.2,2026-04-14 22:07:17.383236,East,Catalog
ORD-00176,Alice,Clothing,Cookbook,3,43.83,0.13,2026-07-15 22:07:17.383238,South,Catalog
ORD-00177,,Sports,Laptop,9,242.38,0.19,2026-05-24 22:07:17.383240,South,Online
ORD-00178,Bob,Home,Phone,7,284.73,0.02,2025-09-18 22:07:17.383242,North,Catalog
ORD-00179,Bob,Books,Jeans,8,317.93,0.24,2026-02-28 22:07:17.383243,South,Online
ORD-00180,Frank,Home,Novel,9,347.43,0.28,2026-05-22 22:07:17.383245,South,Catalog
ORD-00181,Grace,Clothing,Lamp,6,134.1,0.19,2026-03-25 22:07:17.383247,West,Store
ORD-00182,Eve,Food,Table,4,14.89,,2025-12-10 22:07:17.383249,North,Online
ORD-00183,Alice,Home,Cereal,1,364.49,0.05,2026-04-10 22:07:17.383251,East,Catalog
ORD-00184,,Electronics,Table,8,272.47,0.14,2025-11-06 22:07:17.383253,North,Store
ORD-00185,Charlie,Clothing,Phone,7,419.7,0.18,2025-08-09 22:07:17.383254,South,Catalog
ORD-00186,Bob,Food,Lamp,2,412.48,0.17,2025-11-11 22:07:17.383256,West,Store
ORD-00187,Eve,Books,Jeans,8,423.23,0.12,2025-12-29 22:07:17.383258,North,Store
ORD-00188,Jack,Food,Ball,5,247.7,0.1,2026-06-26 22:07:17.383260,North,Catalog
ORD-00189,Frank,Electronics,Laptop,7,173.48,0.04,2026-02-04 22:07:17.383262,South,Catalog
ORD-00190,Grace,Clothing,Lamp,4,397.86,0.12,2025-08-22 22:07:17.383263,South,Store
ORD-00191,David,Books,Novel,5,231.13,0.05,2026-05-09 22:07:17.383265,North,Store
ORD-00192,Grace,Electronics,Cookbook,8,99.89,0.22,2026-03-30 22:07:17.383267,South,Store
ORD-00193,Henry,Food,Jeans,1,428.94,,2026-05-16 22:07:17.383269,South,Online
ORD-00194,Alice,Electronics,Laptop,1,442.45,0.02,2025-08-04 22:07:17.383271,South,Store
ORD-00195,Frank,Clothing,Cereal,4,238.49,0.17,2025-12-02 22:07:17.383272,South,Online
ORD-00196,Henry,Sports,Cookbook,3,47.09,0.18,2026-07-23 22:07:17.383274,South,Store
ORD-00197,Eve,Electronics,Phone,2,200.03,0.26,2026-02-07 22:07:17.383276,West,Online
ORD-00198,David,Electronics,Lamp,3,403.73,0.17,2025-08-06 22:07:17.383278,South,Store
ORD-00199,Bob,Food,Laptop,1,451.87,0.1,2025-12-18 22:07:17.383280,East,Store
ORD-00200,Frank,Food,T-Shirt,1,109.7,0.24,2025-10-24 22:07:17.383282,North,Store
ORD-00201,Frank,Books,Ball,6,42.82,0.16,2025-11-15 22:07:17.383283,West,Catalog
ORD-00202,Alice,Food,Ball,5,439.9,0.02,2025-08-11 22:07:17.383285,West,Catalog
ORD-00203,Ivy,Home,Jeans,8,200.81,0.17,2025-08-14 22:07:17.383287,South,Store
ORD-00204,Frank,Clothing,Cereal,2,275.46,0.27,2026-01-31 22:07:17.383289,North,Online
ORD-00205,Charlie,Clothing,Jeans,4,484.35,0.12,2026-02-04 22:07:17.383291,East,Online
ORD-00206,David,Sports,T-Shirt,8,42.62,0.09,2025-11-20 22:07:17.383293,South,Store
ORD-00207,David,Sports,Novel,6,327.68,0.04,2026-04-25 22:07:17.383294,North,Catalog
ORD-00208,Charlie,Clothing,Cereal,1,46.31,0.05,2026-06-05 22:07:17.383296,South,Online
ORD-00209,Jack,Sports,Table,4,193.98,0.13,2025-10-03 22:07:17.383298,South,Catalog
ORD-00210,Charlie,Books,Novel,1,403.87,0.18,2026-02-24 22:07:17.383300,South,Online
ORD-00211,Charlie,Food,Cereal,2,222.4,0.02,2026-03-14 22:07:17.383302,South,Store
ORD-00212,David,Clothing,Cereal,5,498.62,0.28,2026-05-26 22:07:17.383303,South,Catalog
ORD-00213,Grace,Sports,T-Shirt,8,283.94,0.23,2025-09-03 22:07:17.383305,South,Online
ORD-00214,David,Clothing,Phone,8,167.37,0.18,2026-01-06 22:07:17.383307,South,Store
ORD-00215,Ivy,Home,T-Shirt,3,117.85,0.25,2025-12-21 22:07:17.383309,East,Store
ORD-00216,Alice,Electronics,Cereal,4,181.76,0.02,2026-06-05 22:07:17.383310,West,Store
ORD-00217,Henry,Food,Laptop,6,192.54,0.14,2025-12-04 22:07:17.383312,East,Catalog
ORD-00218,Grace,Clothing,Novel,3,43.67,0.19,2025-11-19 22:07:17.383314,South,Catalog
ORD-00219,Bob,Electronics,T-Shirt,2,191.09,0.25,2025-11-27 22:07:17.383316,South,Store
ORD-00220,Henry,Sports,Phone,6,237.48,0.24,2026-02-06 22:07:17.383317,East,Catalog
ORD-00221,Alice,Electronics,Lamp,5,364.14,0.08,2026-06-06 22:07:17.383319,East,Online
ORD-00222,Ivy,Food,Jeans,5,331.8,0.28,2026-06-03 22:07:17.383321,West,Store
ORD-00223,Ivy,Clothing,Cereal,5,357.3,0.04,2025-09-28 22:07:17.383323,East,Store
ORD-00224,Bob,Home,Table,5,14.1,0.26,2026-04-17 22:07:17.383324,West,Catalog
ORD-00225,Grace,Sports,Lamp,3,116.66,0.29,2025-12-20 22:07:17.383326,South,Store
ORD-00226,Jack,Clothing,Ball,7,334.23,0.05,2026-01-28 22:07:17.383328,North,Online
ORD-00227,Charlie,Food,Cookbook,6,247.15,0.22,2026-05-05 22:07:17.383330,North,Catalog
ORD-00228,Grace,Sports,Phone,4,12.6,0.01,2026-01-20 22:07:17.383331,North,Catalog
ORD-00229,Jack,Books,Table,2,404.2,0.12,2026-06-27 22:07:17.383333,North,Store
ORD-00230,Ivy,Electronics,Cookbook,9,388.68,0.15,2026-01-10 22:07:17.383335,South,Store
ORD-00231,David,Food,Phone,1,278.73,0.17,2025-12-22 22:07:17.383337,North,Store
ORD-00232,Alice,Books,Laptop,4,42.57,0.28,2025-08-16 22:07:17.383338,East,Catalog
ORD-00233,Bob,Clothing,Jeans,1,385.59,0.2,2026-04-01 22:07:17.383340,East,Store
ORD-00234,Alice,Home,Lamp,6,296.02,0.14,2025-11-24 22:07:17.383342,North,Online
ORD-00235,Eve,Sports,Novel,4,393.16,0.24,2026-03-22 22:07:17.383344,East,Store
ORD-00236,Eve,Electronics,Phone,5,378.36,0.29,2025-09-22 22:07:17.383346,West,Store
ORD-00237,Grace,Sports,Novel,5,403.47,0.01,2026-05-09 22:07:17.383348,South,Catalog
ORD-00238,Ivy,Clothing,Jeans,9,263.82,0.29,2025-09-16 22:07:17.383349,North,Store
ORD-00239,Ivy,Sports,Cereal,1,78.76,0.03,2025-09-15 22:07:17.383351,North,Catalog
ORD-00240,Charlie,Electronics,Ball,2,338.87,0.24,2026-01-09 22:07:17.383353,South,Store
ORD-00241,Charlie,Clothing,Lamp,6,314.03,0.08,2025-08-07 22:07:17.383355,East,Online
ORD-00242,Charlie,Sports,Jeans,5,373.7,0.04,2026-06-10 22:07:17.383357,South,Online
ORD-00243,David,Home,Jeans,7,93.24,0.13,2026-01-19 22:07:17.383358,South,Catalog
ORD-00244,Henry,Food,Laptop,3,105.54,0.19,2025-08-15 22:07:17.383360,East,Catalog
ORD-00245,Frank,Clothing,Cookbook,3,446.3,0.11,2025-11-20 22:07:17.383362,South,Store
ORD-00246,Henry,Food,Ball,2,377.49,0.02,2026-05-01 22:07:17.383364,East,Store
ORD-00247,Alice,Clothing,Lamp,3,455.03,0.18,2025-12-29 22:07:17.383366,East,Online
ORD-00248,Henry,Home,Cereal,1,381.77,0.27,2026-02-23 22:07:17.383367,South,Store
ORD-00249,David,Food,Cereal,5,302.61,0.11,2026-02-18 22:07:17.383369,West,Online
ORD-00250,Alice,Books,T-Shirt,5,330.53,0.06,2026-07-08 22:07:17.383371,East,Catalog
ORD-00251,Henry,Electronics,Jeans,7,445.67,,2026-02-09 22:07:17.383373,South,Store
ORD-00252,David,Books,Phone,4,293.62,0.01,2026-03-01 22:07:17.383374,East,Catalog
ORD-00253,Frank,Sports,Laptop,3,319.87,0.25,2026-06-17 22:07:17.383376,West,Store
ORD-00254,Henry,Home,Ball,1,86.67,0.25,2025-08-25 22:07:17.383378,West,Online
ORD-00255,David,Books,Cereal,8,242.22,0.18,2026-06-09 22:07:17.383380,North,Catalog
ORD-00256,Charlie,Clothing,Lamp,3,361.03,,2025-12-30 22:07:17.383382,East,Catalog
ORD-00257,Ivy,Sports,T-Shirt,2,142.76,0.24,2026-05-23 22:07:17.383383,East,Store
ORD-00258,Charlie,Sports,Lamp,4,109.1,0.17,2025-08-02 22:07:17.383385,South,Catalog
ORD-00259,Ivy,Books,Laptop,3,163.78,0.25,2025-09-19 22:07:17.383387,East,Online
ORD-00260,Bob,Books,Phone,1,128.34,0.19,2026-07-05 22:07:17.383389,North,Catalog
ORD-00261,Bob,Home,T-Shirt,3,115.31,0.24,2025-07-24 22:07:17.383391,West,Catalog
ORD-00262,Bob,Electronics,T-Shirt,2,218.18,0.18,2025-09-27 22:07:17.383393,West,Store
ORD-00263,Frank,Books,Cookbook,8,454.84,0.12,2026-07-17 22:07:17.383395,North,Catalog
ORD-00264,Charlie,Books,Ball,6,258.46,,2025-11-17 22:07:17.383396,East,Store
ORD-00265,Ivy,Food,T-Shirt,9,102.08,0.16,2026-03-29 22:07:17.383398,East,Store
ORD-00266,David,Clothing,Cookbook,8,47.72,0.18,2026-05-17 22:07:17.383400,North,Catalog
ORD-00267,Alice,Food,Cookbook,3,351.12,0.07,2026-06-20 22:07:17.383402,South,Online
ORD-00268,David,Food,Laptop,5,197.57,0.19,2026-01-11 22:07:17.383403,West,Store
ORD-00269,Alice,Sports,Novel,7,412.7,0.17,2025-09-02 22:07:17.383405,North,Catalog
ORD-00270,Eve,Electronics,Lamp,5,333.16,0.06,2026-05-30 22:07:17.383407,North,Store
ORD-00271,David,Clothing,Phone,8,400.16,0.02,2025-10-31 22:07:17.383409,East,Online
